windspeed,date
1.732708361,2021-01-25 21:00:00
1.32746661,2021-01-25 22:00:00
1.525201826,2021-01-25 23:00:00
1.77313554,2021-01-26 00:00:00
1.569829121,2021-01-26 01:00:00
1.662729653,2021-01-26 02:00:00
1.469610317,2021-01-26 03:00:00
1.361637294,2021-01-26 04:00:00
14.987947857655813,2021-01-26 05:00:00
0.680682392,2021-01-26 06:00:00
0.119021207,2021-01-26 07:00:00
0.612793573,2021-01-26 08:00:00
0.694611186,2021-01-26 09:00:00
0.999538048,2021-01-26 10:00:00
1.112587402,2021-01-26 11:00:00
1.304545462,2021-01-26 12:00:00
12.596464892120176,2021-01-26 13:00:00
1.436856917,2021-01-26 14:00:00
1.479849222,2021-01-26 15:00:00
1.790131599,2021-01-26 16:00:00
1.539325475,2021-01-26 17:00:00
1.856565426,2021-01-26 18:00:00
1.377110395,2021-01-26 19:00:00
1.034394906,2021-01-26 20:00:00
0.298306678,2021-01-26 21:00:00
0.378874215,2021-01-26 22:00:00
0.709901701,2021-01-26 23:00:00
0.548385488,2021-01-27 00:00:00
0.994363697,2021-01-27 01:00:00
0.766174431,2021-01-27 02:00:00
0.758899561,2021-01-27 03:00:00
0.721356165,2021-01-27 04:00:00
1.443464327,2021-01-27 05:00:00
1.45632752,2021-01-27 06:00:00
1.41827215,2021-01-27 07:00:00
1.138776403,2021-01-27 08:00:00
0.580994784,2021-01-27 09:00:00
0.449458372,2021-01-27 10:00:00
1.500225711,2021-01-27 11:00:00
1.959815643,2021-01-27 12:00:00
2.294439156,2021-01-27 13:00:00
3.023915132,2021-01-27 14:00:00
3.942547331,2021-01-27 15:00:00
4.451540224,2021-01-27 16:00:00
3.216413151,2021-01-27 17:00:00
2.560743882,2021-01-27 18:00:00
2.011030558,2021-01-27 19:00:00
1.877461837,2021-01-27 20:00:00
2.023673838,2021-01-27 21:00:00
1.63558847,2021-01-27 22:00:00
1.522138517,2021-01-27 23:00:00
1.401478913,2021-01-28 00:00:00
0.661229976,2021-01-28 01:00:00
0.618565765,2021-01-28 02:00:00
1.190570072,2021-01-28 03:00:00
1.013163899,2021-01-28 04:00:00
1.128015935,2021-01-28 05:00:00
1.192018316,2021-01-28 06:00:00
1.343383778,2021-01-28 07:00:00
1.369549529,2021-01-28 08:00:00
1.131170733,2021-01-28 09:00:00
1.049880245,2021-01-28 10:00:00
0.918522606,2021-01-28 11:00:00
1.015164634,2021-01-28 12:00:00
0.757088863,2021-01-28 13:00:00
0.30036833,2021-01-28 14:00:00
0.472186023,2021-01-28 15:00:00
1.181822883,2021-01-28 16:00:00
1.70533413,2021-01-28 17:00:00
1.478984305,2021-01-28 18:00:00
0.877020792,2021-01-28 19:00:00
1.028460431,2021-01-28 20:00:00
1.255237172,2021-01-28 21:00:00
1.315344848,2021-01-28 22:00:00
1.377995404,2021-01-28 23:00:00
1.150969342,2021-01-29 00:00:00
0.971067492,2021-01-29 01:00:00
0.943279787,2021-01-29 02:00:00
0.86501198,2021-01-29 03:00:00
0.771457759,2021-01-29 04:00:00
0.925815498,2021-01-29 05:00:00
1.159051817,2021-01-29 06:00:00
0.756600859,2021-01-29 07:00:00
0.708032382,2021-01-29 08:00:00
0.431619227,2021-01-29 09:00:00
0.691270038,2021-01-29 10:00:00
1.444288334,2021-01-29 11:00:00
1.963968204,2021-01-29 12:00:00
2.786938544,2021-01-29 13:00:00
3.215941038,2021-01-29 14:00:00
3.379676749,2021-01-29 15:00:00
3.122783038,2021-01-29 16:00:00
1.558349861,2021-01-29 17:00:00
2.185256904,2021-01-29 18:00:00
2.002482098,2021-01-29 19:00:00
1.390167429,2021-01-29 20:00:00
1.235935823,2021-01-29 21:00:00
1.279609842,2021-01-29 22:00:00
1.223083322,2021-01-29 23:00:00
1.017748068,2021-01-30 00:00:00
1.09582528,2021-01-30 01:00:00
1.033159465,2021-01-30 02:00:00
1.184592977,2021-01-30 03:00:00
1.384975943,2021-01-30 04:00:00
1.421042094,2021-01-30 05:00:00
1.214962437,2021-01-30 06:00:00
0.967998722,2021-01-30 07:00:00
0.780049452,2021-01-30 08:00:00
0.32314253,2021-01-30 09:00:00
0.537026539,2021-01-30 10:00:00
0.876746101,2021-01-30 11:00:00
1.189006412,2021-01-30 12:00:00
1.534238312,2021-01-30 13:00:00
1.893476233,2021-01-30 14:00:00
2.33251012,2021-01-30 15:00:00
2.760880927,2021-01-30 16:00:00
14.743921567211093,2021-01-30 17:00:00
2.006223866,2021-01-30 18:00:00
1.496540251,2021-01-30 19:00:00
1.076531869,2021-01-30 20:00:00
0.946702717,2021-01-30 21:00:00
1.183486686,2021-01-30 22:00:00
1.412274967,2021-01-30 23:00:00
1.341805992,2021-01-31 00:00:00
1.126980275,2021-01-31 01:00:00
1.106361798,2021-01-31 02:00:00
1.042232643,2021-01-31 03:00:00
0.995220997,2021-01-31 04:00:00
1.278555267,2021-01-31 05:00:00
1.164705095,2021-01-31 06:00:00
1.223394115,2021-01-31 07:00:00
0.940149686,2021-01-31 08:00:00
0.474540934,2021-01-31 09:00:00
0.896658896,2021-01-31 10:00:00
1.616100334,2021-01-31 11:00:00
1.732622577,2021-01-31 12:00:00
1.584798354,2021-01-31 13:00:00
1.650488146,2021-01-31 14:00:00
